doctor_id,profile_id,name,specialty,type,room,active
DOC_31,PROF_1030,Dr. Doctor_31,Orthopedics,OPD,Room-44,False
DOC_32,PROF_1031,Dr. Doctor_32,Neurology,OPD,Room-25,False
DOC_33,PROF_1032,Dr. Doctor_33,Neurology,Clinic,Room-34,True
DOC_34,PROF_1033,Dr. Doctor_34,Neurology,OPD,Room-44,True
DOC_35,PROF_1034,Dr. Doctor_35,Orthopedics,Clinic,Room-50,True
DOC_36,PROF_1035,Dr. Doctor_36,Cardiology,Clinic,Room-28,True
DOC_37,PROF_1036,Dr. Doctor_37,Medical Clinic,OPD,Room-47,True
DOC_38,PROF_1037,Dr. Doctor_38,Neurology,OPD,Room-33,True
DOC_39,PROF_1038,Dr. Doctor_39,Orthopedics,Clinic,Room-41,True
DOC_40,PROF_1039,Dr. Doctor_40,General OPD,Clinic,Room-49,True
DOC_41,PROF_1040,Dr. Doctor_41,Neurology,OPD,Room-39,True
DOC_42,PROF_1041,Dr. Doctor_42,Medical Clinic,OPD,Room-8,True
DOC_43,PROF_1042,Dr. Doctor_43,Pediatrics,OPD,Room-4,True
DOC_44,PROF_1043,Dr. Doctor_44,Neurology,OPD,Room-6,False
DOC_45,PROF_1044,Dr. Doctor_45,Cardiology,OPD,Room-9,False
DOC_46,PROF_1045,Dr. Doctor_46,Neurology,OPD,Room-17,False
DOC_47,PROF_1046,Dr. Doctor_47,General OPD,OPD,Room-46,True
DOC_48,PROF_1047,Dr. Doctor_48,Medical Clinic,Clinic,Room-29,False
DOC_49,PROF_1048,Dr. Doctor_49,Cardiology,OPD,Room-15,True
DOC_50,PROF_1049,Dr. Doctor_50,Pediatrics,OPD,Room-38,True
DOC_51,PROF_1050,Dr. Doctor_51,Neurology,OPD,Room-1,True
DOC_52,PROF_1051,Dr. Doctor_52,Orthopedics,OPD,Room-15,True
DOC_53,PROF_1052,Dr. Doctor_53,Cardiology,Clinic,Room-5,True
DOC_54,PROF_1053,Dr. Doctor_54,Pediatrics,Clinic,Room-14,True
DOC_55,PROF_1054,Dr. Doctor_55,Orthopedics,Clinic,Room-16,False
DOC_56,PROF_1055,Dr. Doctor_56,Medical Clinic,OPD,Room-7,True
DOC_57,PROF_1056,Dr. Doctor_57,Orthopedics,Clinic,Room-23,False
DOC_58,PROF_1057,Dr. Doctor_58,Medical Clinic,Clinic,Room-47,True
DOC_59,PROF_1058,Dr. Doctor_59,Orthopedics,OPD,Room-4,False
DOC_60,PROF_1059,Dr. Doctor_60,Orthopedics,Clinic,Room-7,True
DOC_61,PROF_1060,Dr. Doctor_61,General OPD,OPD,Room-35,False
DOC_62,PROF_1061,Dr. Doctor_62,General OPD,Clinic,Room-12,True
DOC_63,PROF_1062,Dr. Doctor_63,Medical Clinic,OPD,Room-5,False
DOC_64,PROF_1063,Dr. Doctor_64,Neurology,OPD,Room-4,True
DOC_65,PROF_1064,Dr. Doctor_65,Cardiology,OPD,Room-11,False
DOC_66,PROF_1065,Dr. Doctor_66,Medical Clinic,Clinic,Room-14,False
DOC_67,PROF_1066,Dr. Doctor_67,Cardiology,OPD,Room-25,True
DOC_68,PROF_1067,Dr. Doctor_68,Medical Clinic,Clinic,Room-30,True
DOC_69,PROF_1068,Dr. Doctor_69,Medical Clinic,Clinic,Room-10,True
DOC_70,PROF_1069,Dr. Doctor_70,Pediatrics,OPD,Room-4,True
DOC_71,PROF_1070,Dr. Doctor_71,Orthopedics,Clinic,Room-4,True
DOC_72,PROF_1071,Dr. Doctor_72,Neurology,Clinic,Room-33,True
DOC_73,PROF_1072,Dr. Doctor_73,Cardiology,OPD,Room-12,True
DOC_74,PROF_1073,Dr. Doctor_74,Neurology,OPD,Room-44,True
DOC_75,PROF_1074,Dr. Doctor_75,Medical Clinic,OPD,Room-37,True
DOC_76,PROF_1075,Dr. Doctor_76,Neurology,OPD,Room-40,True
DOC_77,PROF_1076,Dr. Doctor_77,Medical Clinic,Clinic,Room-17,True
DOC_78,PROF_1077,Dr. Doctor_78,Orthopedics,Clinic,Room-16,True
DOC_79,PROF_1078,Dr. Doctor_79,Medical Clinic,OPD,Room-43,True
DOC_80,PROF_1079,Dr. Doctor_80,Medical Clinic,Clinic,Room-49,True
DOC_81,PROF_1080,Dr. Doctor_81,Cardiology,Clinic,Room-40,True
DOC_82,PROF_1081,Dr. Doctor_82,Cardiology,OPD,Room-33,True
DOC_83,PROF_1082,Dr. Doctor_83,General OPD,Clinic,Room-5,True
DOC_84,PROF_1083,Dr. Doctor_84,Pediatrics,Clinic,Room-11,False
DOC_85,PROF_1084,Dr. Doctor_85,Neurology,Clinic,Room-40,True
DOC_86,PROF_1085,Dr. Doctor_86,Orthopedics,Clinic,Room-43,True
DOC_87,PROF_1086,Dr. Doctor_87,General OPD,Clinic,Room-8,True
DOC_88,PROF_1087,Dr. Doctor_88,Orthopedics,OPD,Room-18,True
DOC_89,PROF_1088,Dr. Doctor_89,Neurology,OPD,Room-46,True
DOC_90,PROF_1089,Dr. Doctor_90,General OPD,Clinic,Room-33,False
DOC_91,PROF_1090,Dr. Doctor_91,Pediatrics,OPD,Room-6,False
DOC_92,PROF_1091,Dr. Doctor_92,Pediatrics,OPD,Room-1,True
DOC_93,PROF_1092,Dr. Doctor_93,General OPD,Clinic,Room-11,False
DOC_94,PROF_1093,Dr. Doctor_94,Neurology,Clinic,Room-36,True
DOC_95,PROF_1094,Dr. Doctor_95,Cardiology,OPD,Room-45,True
DOC_96,PROF_1095,Dr. Doctor_96,Neurology,OPD,Room-24,True
DOC_97,PROF_1096,Dr. Doctor_97,Medical Clinic,OPD,Room-3,True
DOC_98,PROF_1097,Dr. Doctor_98,Pediatrics,OPD,Room-23,True
DOC_99,PROF_1098,Dr. Doctor_99,Orthopedics,OPD,Room-43,True
DOC_100,PROF_1099,Dr. Doctor_100,Pediatrics,Clinic,Room-40,True
DOC_101,PROF_1100,Dr. Doctor_101,General OPD,OPD,Room-12,False
DOC_102,PROF_1101,Dr. Doctor_102,Cardiology,OPD,Room-48,True
DOC_103,PROF_1102,Dr. Doctor_103,Medical Clinic,OPD,Room-18,True
DOC_104,PROF_1103,Dr. Doctor_104,Orthopedics,OPD,Room-25,True
DOC_105,PROF_1104,Dr. Doctor_105,Medical Clinic,OPD,Room-13,False
DOC_106,PROF_1105,Dr. Doctor_106,Pediatrics,Clinic,Room-15,True
DOC_107,PROF_1106,Dr. Doctor_107,Cardiology,OPD,Room-26,True
DOC_108,PROF_1107,Dr. Doctor_108,Pediatrics,OPD,Room-50,True
DOC_109,PROF_1108,Dr. Doctor_109,Pediatrics,Clinic,Room-44,True
DOC_110,PROF_1109,Dr. Doctor_110,Cardiology,OPD,Room-17,True
DOC_111,PROF_1110,Dr. Doctor_111,Neurology,Clinic,Room-3,True
DOC_112,PROF_1111,Dr. Doctor_112,Neurology,Clinic,Room-23,True
DOC_113,PROF_1112,Dr. Doctor_113,Medical Clinic,OPD,Room-25,True
DOC_114,PROF_1113,Dr. Doctor_114,Pediatrics,OPD,Room-46,False
DOC_115,PROF_1114,Dr. Doctor_115,Cardiology,OPD,Room-24,False
DOC_116,PROF_1115,Dr. Doctor_116,Cardiology,Clinic,Room-40,True
DOC_117,PROF_1116,Dr. Doctor_117,Orthopedics,OPD,Room-47,True
DOC_118,PROF_1117,Dr. Doctor_118,Neurology,Clinic,Room-43,False
DOC_119,PROF_1118,Dr. Doctor_119,Pediatrics,Clinic,Room-45,True
DOC_120,PROF_1119,Dr. Doctor_120,Neurology,OPD,Room-13,False
DOC_121,PROF_1120,Dr. Doctor_121,Orthopedics,Clinic,Room-44,True
DOC_122,PROF_1121,Dr. Doctor_122,Neurology,Clinic,Room-26,True
DOC_123,PROF_1122,Dr. Doctor_123,Pediatrics,Clinic,Room-14,False
DOC_124,PROF_1123,Dr. Doctor_124,Neurology,Clinic,Room-30,False
DOC_125,PROF_1124,Dr. Doctor_125,Medical Clinic,OPD,Room-33,False
DOC_126,PROF_1125,Dr. Doctor_126,Orthopedics,OPD,Room-43,True
DOC_127,PROF_1126,Dr. Doctor_127,Pediatrics,Clinic,Room-6,True
DOC_128,PROF_1127,Dr. Doctor_128,Orthopedics,Clinic,Room-15,True
DOC_129,PROF_1128,Dr. Doctor_129,General OPD,OPD,Room-3,True
DOC_130,PROF_1129,Dr. Doctor_130,Medical Clinic,OPD,Room-30,False
DOC_131,PROF_1130,Dr. Doctor_131,Orthopedics,OPD,Room-46,False
DOC_132,PROF_1131,Dr. Doctor_132,Medical Clinic,Clinic,Room-16,True
DOC_133,PROF_1132,Dr. Doctor_133,Orthopedics,OPD,Room-49,True
DOC_134,PROF_1133,Dr. Doctor_134,Medical Clinic,OPD,Room-12,False
DOC_135,PROF_1134,Dr. Doctor_135,Cardiology,OPD,Room-8,False
DOC_136,PROF_1135,Dr. Doctor_136,General OPD,Clinic,Room-43,True
DOC_137,PROF_1136,Dr. Doctor_137,Medical Clinic,Clinic,Room-36,False
DOC_138,PROF_1137,Dr. Doctor_138,General OPD,Clinic,Room-29,True
DOC_139,PROF_1138,Dr. Doctor_139,General OPD,Clinic,Room-50,False
DOC_140,PROF_1139,Dr. Doctor_140,Orthopedics,OPD,Room-18,False
DOC_141,PROF_1140,Dr. Doctor_141,Cardiology,Clinic,Room-16,True
DOC_142,PROF_1141,Dr. Doctor_142,Pediatrics,Clinic,Room-35,True
DOC_143,PROF_1142,Dr. Doctor_143,General OPD,OPD,Room-15,False
DOC_144,PROF_1143,Dr. Doctor_144,Orthopedics,OPD,Room-46,True
DOC_145,PROF_1144,Dr. Doctor_145,Cardiology,Clinic,Room-27,True
DOC_146,PROF_1145,Dr. Doctor_146,Neurology,Clinic,Room-27,True
DOC_147,PROF_1146,Dr. Doctor_147,General OPD,Clinic,Room-25,True
DOC_148,PROF_1147,Dr. Doctor_148,Neurology,Clinic,Room-31,True
DOC_149,PROF_1148,Dr. Doctor_149,Pediatrics,Clinic,Room-49,False
DOC_150,PROF_1149,Dr. Doctor_150,Medical Clinic,OPD,Room-32,True
DOC_151,PROF_1150,Dr. Doctor_151,Pediatrics,Clinic,Room-32,True
DOC_152,PROF_1151,Dr. Doctor_152,Medical Clinic,Clinic,Room-43,False
DOC_153,PROF_1152,Dr. Doctor_153,Orthopedics,OPD,Room-30,True
DOC_154,PROF_1153,Dr. Doctor_154,Neurology,OPD,Room-26,True
DOC_155,PROF_1154,Dr. Doctor_155,Cardiology,Clinic,Room-9,False
DOC_156,PROF_1155,Dr. Doctor_156,General OPD,OPD,Room-17,False
DOC_157,PROF_1156,Dr. Doctor_157,Pediatrics,OPD,Room-30,True
DOC_158,PROF_1157,Dr. Doctor_158,Pediatrics,Clinic,Room-18,False
DOC_159,PROF_1158,Dr. Doctor_159,Pediatrics,OPD,Room-31,True
DOC_160,PROF_1159,Dr. Doctor_160,Orthopedics,OPD,Room-23,True
DOC_161,PROF_1160,Dr. Doctor_161,Orthopedics,OPD,Room-50,True
DOC_162,PROF_1161,Dr. Doctor_162,Cardiology,OPD,Room-13,True
DOC_163,PROF_1162,Dr. Doctor_163,Neurology,OPD,Room-16,True
DOC_164,PROF_1163,Dr. Doctor_164,Medical Clinic,OPD,Room-37,True
DOC_165,PROF_1164,Dr. Doctor_165,Medical Clinic,Clinic,Room-50,True
DOC_166,PROF_1165,Dr. Doctor_166,General OPD,OPD,Room-50,True
DOC_167,PROF_1166,Dr. Doctor_167,Pediatrics,OPD,Room-38,True
DOC_168,PROF_1167,Dr. Doctor_168,Pediatrics,Clinic,Room-26,True
DOC_169,PROF_1168,Dr. Doctor_169,Cardiology,OPD,Room-7,True
DOC_170,PROF_1169,Dr. Doctor_170,Orthopedics,OPD,Room-37,True
DOC_171,PROF_1170,Dr. Doctor_171,Pediatrics,Clinic,Room-43,True
DOC_172,PROF_1171,Dr. Doctor_172,Cardiology,Clinic,Room-1,False
DOC_173,PROF_1172,Dr. Doctor_173,Medical Clinic,OPD,Room-28,True
DOC_174,PROF_1173,Dr. Doctor_174,Orthopedics,Clinic,Room-46,True
DOC_175,PROF_1174,Dr. Doctor_175,Medical Clinic,OPD,Room-47,True
DOC_176,PROF_1175,Dr. Doctor_176,Neurology,Clinic,Room-30,False
DOC_177,PROF_1176,Dr. Doctor_177,Orthopedics,Clinic,Room-21,True
DOC_178,PROF_1177,Dr. Doctor_178,Cardiology,Clinic,Room-29,True
DOC_179,PROF_1178,Dr. Doctor_179,Medical Clinic,Clinic,Room-22,True
DOC_180,PROF_1179,Dr. Doctor_180,Medical Clinic,Clinic,Room-12,False
DOC_181,PROF_1180,Dr. Doctor_181,General OPD,Clinic,Room-17,True
DOC_182,PROF_1181,Dr. Doctor_182,Pediatrics,Clinic,Room-36,True
DOC_183,PROF_1182,Dr. Doctor_183,Neurology,OPD,Room-6,True
DOC_184,PROF_1183,Dr. Doctor_184,Orthopedics,Clinic,Room-32,True
DOC_185,PROF_1184,Dr. Doctor_185,Orthopedics,Clinic,Room-42,False
DOC_186,PROF_1185,Dr. Doctor_186,Medical Clinic,OPD,Room-6,True
DOC_187,PROF_1186,Dr. Doctor_187,General OPD,Clinic,Room-45,True
DOC_188,PROF_1187,Dr. Doctor_188,Pediatrics,Clinic,Room-31,True
DOC_189,PROF_1188,Dr. Doctor_189,Medical Clinic,Clinic,Room-23,False
DOC_190,PROF_1189,Dr. Doctor_190,Pediatrics,Clinic,Room-17,True
DOC_191,PROF_1190,Dr. Doctor_191,Cardiology,OPD,Room-21,True
DOC_192,PROF_1191,Dr. Doctor_192,Orthopedics,OPD,Room-13,True
DOC_193,PROF_1192,Dr. Doctor_193,Orthopedics,Clinic,Room-18,True
DOC_194,PROF_1193,Dr. Doctor_194,Cardiology,OPD,Room-19,True
DOC_195,PROF_1194,Dr. Doctor_195,Pediatrics,OPD,Room-20,True
DOC_196,PROF_1195,Dr. Doctor_196,Orthopedics,OPD,Room-18,True
DOC_197,PROF_1196,Dr. Doctor_197,Cardiology,Clinic,Room-45,True
DOC_198,PROF_1197,Dr. Doctor_198,Orthopedics,Clinic,Room-7,True
DOC_199,PROF_1198,Dr. Doctor_199,Neurology,Clinic,Room-31,False
DOC_200,PROF_1199,Dr. Doctor_200,Medical Clinic,Clinic,Room-12,True
DOC_201,PROF_1200,Dr. Doctor_201,Pediatrics,Clinic,Room-8,True
DOC_202,PROF_1201,Dr. Doctor_202,Medical Clinic,Clinic,Room-5,True
DOC_203,PROF_1202,Dr. Doctor_203,General OPD,OPD,Room-37,True
DOC_204,PROF_1203,Dr. Doctor_204,Cardiology,OPD,Room-8,False
DOC_205,PROF_1204,Dr. Doctor_205,Neurology,OPD,Room-50,False
DOC_206,PROF_1205,Dr. Doctor_206,Medical Clinic,Clinic,Room-20,False
DOC_207,PROF_1206,Dr. Doctor_207,Pediatrics,OPD,Room-40,True
DOC_208,PROF_1207,Dr. Doctor_208,General OPD,OPD,Room-17,True
DOC_209,PROF_1208,Dr. Doctor_209,General OPD,OPD,Room-12,True
DOC_210,PROF_1209,Dr. Doctor_210,General OPD,OPD,Room-27,False
DOC_211,PROF_1210,Dr. Doctor_211,Orthopedics,Clinic,Room-19,True
DOC_212,PROF_1211,Dr. Doctor_212,General OPD,Clinic,Room-46,True
DOC_213,PROF_1212,Dr. Doctor_213,Orthopedics,Clinic,Room-5,True
DOC_214,PROF_1213,Dr. Doctor_214,Pediatrics,OPD,Room-28,True
DOC_215,PROF_1214,Dr. Doctor_215,Neurology,OPD,Room-42,True
DOC_216,PROF_1215,Dr. Doctor_216,Pediatrics,OPD,Room-5,True
DOC_217,PROF_1216,Dr. Doctor_217,General OPD,Clinic,Room-39,True
DOC_218,PROF_1217,Dr. Doctor_218,Medical Clinic,OPD,Room-30,True
DOC_219,PROF_1218,Dr. Doctor_219,Orthopedics,Clinic,Room-18,False
DOC_220,PROF_1219,Dr. Doctor_220,Medical Clinic,OPD,Room-39,True
DOC_221,PROF_1220,Dr. Doctor_221,Medical Clinic,Clinic,Room-39,True
DOC_222,PROF_1221,Dr. Doctor_222,Cardiology,OPD,Room-15,True
DOC_223,PROF_1222,Dr. Doctor_223,Orthopedics,Clinic,Room-37,True
DOC_224,PROF_1223,Dr. Doctor_224,General OPD,Clinic,Room-34,False
DOC_225,PROF_1224,Dr. Doctor_225,Pediatrics,OPD,Room-38,False
DOC_226,PROF_1225,Dr. Doctor_226,Orthopedics,Clinic,Room-6,False
DOC_227,PROF_1226,Dr. Doctor_227,Pediatrics,Clinic,Room-22,True
DOC_228,PROF_1227,Dr. Doctor_228,Orthopedics,OPD,Room-11,True
DOC_229,PROF_1228,Dr. Doctor_229,Medical Clinic,Clinic,Room-19,False
DOC_230,PROF_1229,Dr. Doctor_230,Neurology,OPD,Room-30,True
DOC_231,PROF_1230,Dr. Doctor_231,Pediatrics,Clinic,Room-21,True
DOC_232,PROF_1231,Dr. Doctor_232,Medical Clinic,OPD,Room-43,False
DOC_233,PROF_1232,Dr. Doctor_233,Medical Clinic,OPD,Room-13,True
DOC_234,PROF_1233,Dr. Doctor_234,Neurology,Clinic,Room-41,False
DOC_235,PROF_1234,Dr. Doctor_235,Cardiology,OPD,Room-18,True
DOC_236,PROF_1235,Dr. Doctor_236,Pediatrics,Clinic,Room-45,False
DOC_237,PROF_1236,Dr. Doctor_237,Cardiology,OPD,Room-41,True
DOC_238,PROF_1237,Dr. Doctor_238,Orthopedics,OPD,Room-20,True
DOC_239,PROF_1238,Dr. Doctor_239,Neurology,Clinic,Room-6,True
DOC_240,PROF_1239,Dr. Doctor_240,Cardiology,Clinic,Room-8,True
DOC_241,PROF_1240,Dr. Doctor_241,Medical Clinic,Clinic,Room-33,True
DOC_242,PROF_1241,Dr. Doctor_242,Medical Clinic,Clinic,Room-31,True
DOC_243,PROF_1242,Dr. Doctor_243,Medical Clinic,OPD,Room-25,True
DOC_244,PROF_1243,Dr. Doctor_244,Neurology,OPD,Room-5,True
DOC_245,PROF_1244,Dr. Doctor_245,Medical Clinic,Clinic,Room-33,True
DOC_246,PROF_1245,Dr. Doctor_246,Cardiology,Clinic,Room-47,True
DOC_247,PROF_1246,Dr. Doctor_247,Neurology,Clinic,Room-10,False
DOC_248,PROF_1247,Dr. Doctor_248,Neurology,Clinic,Room-23,True
DOC_249,PROF_1248,Dr. Doctor_249,Neurology,Clinic,Room-30,True
DOC_250,PROF_1249,Dr. Doctor_250,General OPD,OPD,Room-37,False
DOC_251,PROF_1250,Dr. Doctor_251,General OPD,Clinic,Room-3,True
DOC_252,PROF_1251,Dr. Doctor_252,Orthopedics,Clinic,Room-46,False
DOC_253,PROF_1252,Dr. Doctor_253,Medical Clinic,OPD,Room-32,True
DOC_254,PROF_1253,Dr. Doctor_254,General OPD,Clinic,Room-7,False
DOC_255,PROF_1254,Dr. Doctor_255,Cardiology,Clinic,Room-1,True
DOC_256,PROF_1255,Dr. Doctor_256,Medical Clinic,OPD,Room-5,False
DOC_257,PROF_1256,Dr. Doctor_257,Pediatrics,Clinic,Room-40,False
DOC_258,PROF_1257,Dr. Doctor_258,Orthopedics,OPD,Room-22,False
DOC_259,PROF_1258,Dr. Doctor_259,Pediatrics,Clinic,Room-35,True
DOC_260,PROF_1259,Dr. Doctor_260,Neurology,OPD,Room-16,True
DOC_261,PROF_1260,Dr. Doctor_261,General OPD,OPD,Room-28,True
DOC_262,PROF_1261,Dr. Doctor_262,Orthopedics,OPD,Room-29,True
DOC_263,PROF_1262,Dr. Doctor_263,Orthopedics,Clinic,Room-2,True
DOC_264,PROF_1263,Dr. Doctor_264,Pediatrics,OPD,Room-19,True
DOC_265,PROF_1264,Dr. Doctor_265,Pediatrics,Clinic,Room-10,True
DOC_266,PROF_1265,Dr. Doctor_266,Neurology,Clinic,Room-37,True
DOC_267,PROF_1266,Dr. Doctor_267,General OPD,OPD,Room-6,False
DOC_268,PROF_1267,Dr. Doctor_268,Neurology,OPD,Room-32,True
DOC_269,PROF_1268,Dr. Doctor_269,General OPD,Clinic,Room-41,True
DOC_270,PROF_1269,Dr. Doctor_270,Medical Clinic,Clinic,Room-43,True
DOC_271,PROF_1270,Dr. Doctor_271,Medical Clinic,Clinic,Room-44,True
DOC_272,PROF_1271,Dr. Doctor_272,Cardiology,Clinic,Room-23,True
DOC_273,PROF_1272,Dr. Doctor_273,Orthopedics,Clinic,Room-45,True
DOC_274,PROF_1273,Dr. Doctor_274,Medical Clinic,Clinic,Room-13,False
DOC_275,PROF_1274,Dr. Doctor_275,Medical Clinic,OPD,Room-16,False
DOC_276,PROF_1275,Dr. Doctor_276,Neurology,Clinic,Room-37,True
DOC_277,PROF_1276,Dr. Doctor_277,Orthopedics,Clinic,Room-2,False
DOC_278,PROF_1277,Dr. Doctor_278,Pediatrics,OPD,Room-37,True
DOC_279,PROF_1278,Dr. Doctor_279,Neurology,Clinic,Room-19,True
DOC_280,PROF_1279,Dr. Doctor_280,Neurology,Clinic,Room-15,True
DOC_281,PROF_1280,Dr. Doctor_281,Neurology,Clinic,Room-44,True
DOC_282,PROF_1281,Dr. Doctor_282,Orthopedics,OPD,Room-41,True
DOC_283,PROF_1282,Dr. Doctor_283,Pediatrics,Clinic,Room-3,True
DOC_284,PROF_1283,Dr. Doctor_284,Orthopedics,OPD,Room-6,True
DOC_285,PROF_1284,Dr. Doctor_285,Pediatrics,Clinic,Room-12,True
DOC_286,PROF_1285,Dr. Doctor_286,General OPD,Clinic,Room-34,True
DOC_287,PROF_1286,Dr. Doctor_287,General OPD,Clinic,Room-31,True
DOC_288,PROF_1287,Dr. Doctor_288,Orthopedics,Clinic,Room-8,False
DOC_289,PROF_1288,Dr. Doctor_289,Cardiology,OPD,Room-49,True
DOC_290,PROF_1289,Dr. Doctor_290,Orthopedics,Clinic,Room-36,True
DOC_291,PROF_1290,Dr. Doctor_291,Cardiology,Clinic,Room-1,True
DOC_292,PROF_1291,Dr. Doctor_292,Neurology,OPD,Room-30,True
DOC_293,PROF_1292,Dr. Doctor_293,Orthopedics,Clinic,Room-38,False
DOC_294,PROF_1293,Dr. Doctor_294,Orthopedics,Clinic,Room-7,True
DOC_295,PROF_1294,Dr. Doctor_295,Medical Clinic,OPD,Room-40,True
DOC_296,PROF_1295,Dr. Doctor_296,Neurology,OPD,Room-42,True
DOC_297,PROF_1296,Dr. Doctor_297,Orthopedics,Clinic,Room-45,True
DOC_298,PROF_1297,Dr. Doctor_298,Orthopedics,Clinic,Room-8,True
DOC_299,PROF_1298,Dr. Doctor_299,Cardiology,OPD,Room-20,False
DOC_300,PROF_1299,Dr. Doctor_300,Cardiology,OPD,Room-16,True
DOC_301,PROF_1300,Dr. Doctor_301,Medical Clinic,Clinic,Room-24,False
DOC_302,PROF_1301,Dr. Doctor_302,Neurology,OPD,Room-27,True
DOC_303,PROF_1302,Dr. Doctor_303,Medical Clinic,Clinic,Room-18,True
DOC_304,PROF_1303,Dr. Doctor_304,Orthopedics,Clinic,Room-14,False
DOC_305,PROF_1304,Dr. Doctor_305,Medical Clinic,OPD,Room-24,True
DOC_306,PROF_1305,Dr. Doctor_306,Orthopedics,Clinic,Room-35,True
DOC_307,PROF_1306,Dr. Doctor_307,Cardiology,Clinic,Room-18,True
DOC_308,PROF_1307,Dr. Doctor_308,Cardiology,Clinic,Room-6,True
DOC_309,PROF_1308,Dr. Doctor_309,Orthopedics,OPD,Room-4,True
DOC_310,PROF_1309,Dr. Doctor_310,General OPD,OPD,Room-37,True
DOC_311,PROF_1310,Dr. Doctor_311,Cardiology,OPD,Room-38,True
DOC_312,PROF_1311,Dr. Doctor_312,General OPD,Clinic,Room-50,True
DOC_313,PROF_1312,Dr. Doctor_313,Neurology,OPD,Room-18,True
DOC_314,PROF_1313,Dr. Doctor_314,General OPD,Clinic,Room-12,True
DOC_315,PROF_1314,Dr. Doctor_315,Orthopedics,OPD,Room-9,True
DOC_316,PROF_1315,Dr. Doctor_316,Pediatrics,OPD,Room-38,True
DOC_317,PROF_1316,Dr. Doctor_317,Cardiology,OPD,Room-17,True
DOC_318,PROF_1317,Dr. Doctor_318,General OPD,Clinic,Room-34,True
DOC_319,PROF_1318,Dr. Doctor_319,Orthopedics,OPD,Room-31,False
DOC_320,PROF_1319,Dr. Doctor_320,Pediatrics,OPD,Room-29,True
DOC_321,PROF_1320,Dr. Doctor_321,Neurology,OPD,Room-47,True
DOC_322,PROF_1321,Dr. Doctor_322,Medical Clinic,OPD,Room-4,False
DOC_323,PROF_1322,Dr. Doctor_323,Medical Clinic,Clinic,Room-44,True
DOC_324,PROF_1323,Dr. Doctor_324,Medical Clinic,Clinic,Room-5,True
DOC_325,PROF_1324,Dr. Doctor_325,Pediatrics,OPD,Room-5,True
DOC_326,PROF_1325,Dr. Doctor_326,Pediatrics,Clinic,Room-25,True
DOC_327,PROF_1326,Dr. Doctor_327,Medical Clinic,Clinic,Room-7,True
DOC_328,PROF_1327,Dr. Doctor_328,Orthopedics,OPD,Room-28,False
DOC_329,PROF_1328,Dr. Doctor_329,General OPD,Clinic,Room-22,False
DOC_330,PROF_1329,Dr. Doctor_330,Medical Clinic,Clinic,Room-47,True
DOC_331,PROF_1330,Dr. Doctor_331,Pediatrics,Clinic,Room-21,True
DOC_332,PROF_1331,Dr. Doctor_332,Pediatrics,OPD,Room-44,False
